,Date,Exchange_Rate
0,19/07/2022,0.012520
1,18/07/2022,0.012490
2,17/07/2022,0.012545
3,16/07/2022,0.012533
4,15/07/2022,0.012547
5,14/07/2022,0.012516
6,13/07/2022,0.012529
7,12/07/2022,0.012579
8,11/07/2022,0.012579
9,10/07/2022,0.012609
10,09/07/2022,0.012606
11,08/07/2022,0.012605
12,07/07/2022,0.012627
13,06/07/2022,0.012652
14,05/07/2022,0.012597
15,04/07/2022,0.012667
16,03/07/2022,0.012670
17,02/07/2022,0.012666
18,01/07/2022,0.012666
19,30/06/2022,0.012663
20,29/06/2022,0.012675
21,28/06/2022,0.012649
22,27/06/2022,0.012751
23,26/06/2022,0.012782
24,25/06/2022,0.012780
25,24/06/2022,0.012780
26,23/06/2022,0.012796
27,22/06/2022,0.012787
28,21/06/2022,0.012799
29,20/06/2022,0.012834
30,19/06/2022,0.012827
31,18/06/2022,0.012827
32,17/06/2022,0.012827
33,16/06/2022,0.012823
34,15/06/2022,0.012841
35,14/06/2022,0.012822
36,13/06/2022,0.012796
37,12/06/2022,0.012793
38,11/06/2022,0.012791
39,10/06/2022,0.012792
40,09/06/2022,0.012848
41,08/06/2022,0.012865
42,07/06/2022,0.012878
43,06/06/2022,0.012850
44,05/06/2022,0.012880
45,04/06/2022,0.012871
46,03/06/2022,0.012871
47,02/06/2022,0.012922
48,01/06/2022,0.012889
49,31/05/2022,0.012888
50,30/05/2022,0.012892
51,29/05/2022,0.012873
52,28/05/2022,0.012871
53,27/05/2022,0.012871
54,26/05/2022,0.012881
55,25/05/2022,0.012910
56,24/05/2022,0.012901
57,23/05/2022,0.012900
58,22/05/2022,0.012852
59,21/05/2022,0.012850
60,20/05/2022,0.012850
61,19/05/2022,0.012918
62,18/05/2022,0.012850
63,17/05/2022,0.012924
64,16/05/2022,0.012856
65,15/05/2022,0.012906
66,14/05/2022,0.012905
67,13/05/2022,0.012906
68,12/05/2022,0.012910
69,11/05/2022,0.012917
70,10/05/2022,0.012939
71,09/05/2022,0.012927
72,08/05/2022,0.012994
73,07/05/2022,0.012995
74,06/05/2022,0.012994
75,05/05/2022,0.013070
76,04/05/2022,0.013161
77,03/05/2022,0.013081
78,02/05/2022,0.013068
79,01/05/2022,0.013067
80,30/04/2022,0.013067
81,29/04/2022,0.013067
82,28/04/2022,0.013054
83,27/04/2022,0.013078
84,26/04/2022,0.013022
85,25/04/2022,0.013069
86,24/04/2022,0.013074
87,23/04/2022,0.013077
88,22/04/2022,0.013078
89,21/04/2022,0.013114
90,20/04/2022,0.013117
91,19/04/2022,0.013083
92,18/04/2022,0.013109
93,17/04/2022,0.013105
94,16/04/2022,0.013101
95,15/04/2022,0.013101
96,14/04/2022,0.013104
97,13/04/2022,0.013135
98,12/04/2022,0.013130
99,11/04/2022,0.013186
100,10/04/2022,0.013173
101,09/04/2022,0.013172
102,08/04/2022,0.013172
103,07/04/2022,0.013173
104,06/04/2022,0.013167
105,05/04/2022,0.013254
106,04/04/2022,0.013253
107,03/04/2022,0.013161
108,02/04/2022,0.013165
109,01/04/2022,0.013166
110,31/03/2022,0.013173
111,30/03/2022,0.013188
112,29/03/2022,0.013216
113,28/03/2022,0.013150
114,27/03/2022,0.013108
115,26/03/2022,0.013110
116,25/03/2022,0.013110
117,24/03/2022,0.013103
118,23/03/2022,0.013064
119,22/03/2022,0.013139
120,21/03/2022,0.013106
121,20/03/2022,0.013158
122,19/03/2022,0.013167
123,18/03/2022,0.013167
124,17/03/2022,0.013164
125,16/03/2022,0.013154
126,15/03/2022,0.013113
127,14/03/2022,0.013073
128,13/03/2022,0.013029
129,12/03/2022,0.013028
130,11/03/2022,0.013028
131,10/03/2022,0.013107
132,09/03/2022,0.013140
133,08/03/2022,0.013004
134,07/03/2022,0.012976
135,06/03/2022,0.013082
136,05/03/2022,0.013086
137,04/03/2022,0.013084
138,03/03/2022,0.013179
139,02/03/2022,0.013229
140,01/03/2022,0.013196
141,28/02/2022,0.013282
142,27/02/2022,0.013327
143,26/02/2022,0.013320
144,25/02/2022,0.013324
145,24/02/2022,0.013260
146,23/02/2022,0.013393
147,22/02/2022,0.013397
148,21/02/2022,0.013365
149,20/02/2022,0.013388
150,19/02/2022,0.013389
151,18/02/2022,0.013389
152,17/02/2022,0.013317
153,16/02/2022,0.013338
154,15/02/2022,0.013298
155,14/02/2022,0.013212
156,13/02/2022,0.013254
157,12/02/2022,0.013220
158,11/02/2022,0.013220
159,10/02/2022,0.013235
160,09/02/2022,0.013367
161,08/02/2022,0.013389
162,07/02/2022,0.013396
163,06/02/2022,0.013396
164,05/02/2022,0.013397
165,04/02/2022,0.013397
166,03/02/2022,0.013396
167,02/02/2022,0.013365
168,01/02/2022,0.013376
169,31/01/2022,0.013411
170,30/01/2022,0.013328
171,29/01/2022,0.013333
172,28/01/2022,0.013333
173,27/01/2022,0.013295
174,26/01/2022,0.013328
175,25/01/2022,0.013377
176,24/01/2022,0.013398
177,23/01/2022,0.013438
178,22/01/2022,0.013437
179,21/01/2022,0.013437
